competitor_name,feature,launch_date,source_type,insight,threat_level
Salesforce Service Cloud,automated board-ready reporting pack,2026-05-03,Pricing Page,Salesforce Service Cloud is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Help Scout,executive analytics dashboard,2026-06-15,Pricing Page,Help Scout is positioning executive analytics dashboard as a reason to switch from slower B2B SaaS tools.,Low
Intercom,AI support copilot with verified citations,2026-01-12,Customer Call,Intercom is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Help Scout,automated board-ready reporting pack,2026-06-01,Customer Call,Help Scout is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Salesforce Service Cloud,usage-based billing controls,2026-01-11,Product Blog,Salesforce Service Cloud is positioning usage-based billing controls as a reason to switch from slower B2B SaaS tools.,High
Intercom,AI support copilot with verified citations,2026-01-15,Customer Call,Intercom is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Intercom,expanded CRM marketplace connectors,2026-05-13,Pricing Page,Intercom is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Help Scout,expanded CRM marketplace connectors,2026-05-25,Release Notes,Help Scout is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Salesforce Service Cloud,automated board-ready reporting pack,2026-06-19,Analyst Report,Salesforce Service Cloud is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Intercom,self-serve SSO configuration wizard,2026-06-05,Pricing Page,Intercom is positioning self-serve SSO configuration wizard as a reason to switch from slower B2B SaaS tools.,Medium
Intercom,automated board-ready reporting pack,2026-02-26,Pricing Page,Intercom is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Help Scout,expanded CRM marketplace connectors,2026-02-06,Product Blog,Help Scout is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Intercom,AI support copilot with verified citations,2026-06-09,Product Blog,Intercom is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Freshdesk,automated board-ready reporting pack,2026-02-12,Analyst Report,Freshdesk is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
